#格式：课程名 学分 成绩（#开头的行为注释）
军训 2 93
英语口语 2 77
中国政策 2 90
#大学英语1已经重修
大学英语1 2 60
国防教育 2 81
体育1 0.5 73
思想道德 3 87
线性代数 4 95
高等数学 6.5 92
离散数学 4 81
大学生心理健康 2 86
程序设计 3 90
大学英语2 2 85
大学物理实验1 1 85
大学物理1 4 95
中国近代史 2 83
体育2 0.5 82
高等数学2 6.5 94
计算概论 2 93
能源互联网 1 93
化美生活 2 95
大学物理实验2 1 95
大学英语3 2 79
体育3 0.5 79
大学物理2 4 98
电子电路学 4.5 78
数据结构 3.5 88
数据结构专题实验 1 95
毛泽东思想 2 91
计算机组成 4 73
C++ 2.5 90
算法分析与设计 2.5 76
体育4 0.5 80
马克思主义 3 79
电工实习 1 75
习近平思想 3 85
概率论 4 82
数字逻辑电路 3.5 75
电子技术实验2 0.5 80
计算机系统导论 4 62
测控实习 1 90
物联网应用 2 86
人工智能 2.5 76
计算机网络 3 82
计算机组成专题实验 1 86
#操作系统准备重修
操作系统专题实验 1 60
计算机图形学 2.5 62
操作系统原理1 3 90
生物信息学 2 82
嵌入式系统 2 83
软件工程 2 89
编译器实验 1 84
形式语言与编译 3.5 77
计算机网络专题实验 1 80
数据库系统 2.5 79
